Lui	lui	Tf-so
Winston	Winston	Np
îi	el	Pp3-sd--------w
displăcuse	displăcea	Vmil3s
fata	fată	Ncfsry
asta	acesta	Dd3fsr---o
din	din	Spsa
primul	prim	Momsrly
moment	moment	Ncms-n
când	când	Rw
o	el	Pp3fsa--------w
văzuse	vedea	Vmil3s
.	.	Zp

Știa	ști	Vmii3s
și	și	Crssp
de	de	Spsa
ce	ce	Pw3--r
.	.	Zp

Din	din	Spsa
cauza	cauză	Ncfsry
atmosferei	atmosferă	Ncfsoy
de	de	Spsa
gazon	gazon	Ncms-n
de	de	Spsa
hochei	hochei	Ncms-n
și	și	Crssp
de	de	Spsa
băi	baie	Ncfp-n
reci	rece	Afp-p-n
și	și	Crssp
de	de	Spsa
excursii	excursie	Ncfp-n
în	în	Spsa
grup	grup	Ncms-n
și	și	Crssp
în	în	Spsa
general	general	Ncms-n
de	de	Spsa
castitate	castitate	Ncfsrn
pe	pe	Spsa
care	care	Pw3--r
reușea	reuși	Vmii3s
s-	să	Qs-y
o	el	Pp3fsa--------w
creeze	crea	Vmsp3
în	în	Spsa
jurul	jur	Ncmsry
ei	lui	Ds3---s
.	.	Zp

Aparatul	aparat	Ncmsry
care	care	Pw3--r
se	sine	Px3--a--------w
numea	numi	Vmii3s
tele-ecran	tele-ecran	Ncms-n
,	,	Zc
putea	putea	Vmii3s
fi	fi	Vanp
dat	da	Vmp--sm
mai	mai	Rp
încet	încet	Rgp
,	,	Zc
dar	dar	Ccssp
nu	nu	Qz
aveai	avea	Vmii2s
cum	cum	Rw
să	să	Qs
-l	el	Pp3msa--y-----w
închizi	închide	Vmip2s
de	de	Spsa
tot	tot	Pi3msr
.	.	Zp

Winston	Winston	Np
detesta	detesta	Vmii3s
aproape	aproape	Rgp
orice	orice	Di3--r---e
femeie	femeie	Ncfsrn
și	și	Crssp
mai	mai	Rp
ales	ales	Rgp
pe	pe	Spsa
cele	acela	Pd3fpr
tinere	tânăr	Afpfp-n
și	și	Crssp
drăguțe	drăguț	Afpfp-n
.	.	Zp

Femeile	femeie	Ncfpry
,	,	Zc
și	și	Crssp
mai	mai	Rp
ales	ales	Rgp
cele	acela	Pd3fpr
tinere	tânăr	Afpfp-n
,	,	Zc
erau	fi	Vaii3p
întotdeauna	întotdeauna	Rgp
cele	cel	Tdfpr
mai	mai	Rp
fanatice	fanatic	Afpfp-n
adepte	adeptă	Ncfp-n
ale	al	Tsfp
Partidului	partid	Ncmsoy
,	,	Zc
cele	acela	Pd3fpr
care	care	Pw3--r
înghițeau	înghiți	Vmii3p
slogane	slogan	Ncfp-n
,	,	Zc
care	care	Pw3--r
făceau	face	Vmii3p
spionaj	spionaj	Ncms-n
amator	amator	Afpms-n
și	și	Crssp
te	tu	Pp2-sa--------w
turnau	turna	Vmii3p
dacă	dacă	Csssp
te	tu	Pp2-sa--------w
miroseau	mirosi	Vmii3p
de	de	Spsa
neortodoxie	neortodoxie	Ncfsrn
.	.	Zp

Dar	dar	Ccssp
fata	fată	Ncfsry
asta	acesta	Dd3fsr---o
,	,	Zc
în	în	Spsa
mod	mod	Ncms-n
special	special	Afpms-n
,	,	Zc
îi	el	Pp3-sd--------w
dădea	da	Vmii3s
impresia	impresie	Ncfsry
că	că	Csssp
este	fi	Vaip3s
mai	mai	Rp
periculoasă	periculos	Afpfsrn
decât	decât	Rc
multe	mult	Pi3fpr
altele	altul	Pi3fpr
.	.	Zp

O	un	Tifsr
dată	dată	Ncfsrn
,	,	Zc
când	când	Rw
treceau	trece	Vmii3p
unul	unul	Pi3msr
pe	pe	Spsa
lângă	lângă	Spsa
altul	altul	Pi3msr
pe	pe	Spsa
coridor	coridor	Ncms-n
,	,	Zc
ea	el	Pp3fsr--------s
îi	el	Pp3-sd--------w
aruncase	arunca	Vmil3s
o	un	Tifsr
privire	privire	Ncfsrn
piezișă	pieziș	Afpfsrn
care	care	Pw3--r
parcă	parcă	Rgp
